graph_0,graph_1,graph_2,graph_3,graph_4,graph_5,graph_6,graph_7,graph_8,graph_9,graph_10,graph_11,graph_12,graph_13,graph_14,graph_15,graph_16,graph_17,graph_18,graph_19,graph_20,graph_21,graph_22,graph_23,graph_24,graph_25,graph_26,graph_27,graph_28,graph_29,graph_30,graph_31,graph_32,graph_33,graph_34,graph_35,graph_36,graph_37,graph_38,graph_39,graph_40,graph_41,graph_42,graph_43,graph_44,graph_45,graph_46,graph_47,graph_48,graph_49,graph_50,graph_51,graph_52,graph_53,graph_54,graph_55,graph_56,graph_57,graph_58,graph_59,graph_60,graph_61,graph_62,graph_63
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
-0.2827187,-0.58631086,-0.6161192,0.034111038,0.7474936,-0.064168744,-0.3937846,-0.4311571,-0.81099266,-0.30821684,0.49610415,-0.53992444,-0.022597758,-0.3603246,0.60796547,-0.6039863,0.1950598,-0.63603383,0.034765452,-1.2956446,-0.15811364,0.4624817,-0.2710091,1.1206279,0.18415375,0.67534107,-0.26500264,-0.8976676,0.4281544,0.88217735,0.70469373,0.20194721,0.09114732,0.8015766,0.85284,-1.7868263,-0.5152197,-0.36025286,0.54290104,-0.59321177,0.06787597,0.32637236,0.2375855,-1.6357973,0.004834806,-0.5445492,0.35636598,-0.24753718,-0.80917937,-0.3405876,-0.21431968,-1.0406467,-1.0132498,-0.21503164,0.5835953,-0.92028254,-0.32679552,-0.99574566,0.46216998,0.49934012,-0.081524715,0.27686974,-0.6364268,0.0979708
